"StichtagDatJahr","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"Ayana",2014,"2","weiblich",2,1
2015,"Ayca",2007,"2","weiblich",2,1
2015,"Ayco",2011,"1","männlich",1,1
2015,"Ayk",2004,"1","männlich",1,1
2015,"Ayk",2010,"1","männlich",1,1
2015,"Ayko",2013,"1","männlich",1,1
2015,"Ayla",2007,"2","weiblich",2,1
2015,"Ayla",2010,"2","weiblich",2,1
2015,"Ayla",2011,"2","weiblich",2,1
2015,"Ayla",2015,"2","weiblich",2,1
2015,"Aylin",2009,"2","weiblich",2,1
2015,"Ayse",2007,"2","weiblich",2,1
2015,"Aysha",2006,"2","weiblich",2,2
2015,"Aysha",2008,"2","weiblich",2,1
2015,"Aysha (Alya)",2008,"2","weiblich",2,1
2015,"Ayumi",2012,"2","weiblich",2,1
2015,"Ayusha vom Maieriesli",2013,"2","weiblich",2,1
2015,"Azan (Viserion Aglow)",2015,"1","männlich",1,1
2015,"Azim",2009,"1","männlich",1,1
2015,"Azira vom Mühlibach",2009,"2","weiblich",2,1
2015,"Azizza",2005,"2","weiblich",2,1
2015,"Azzurra",2012,"2","weiblich",2,1
2015,"Azzurro",2009,"1","männlich",1,1
2015,"Azzy",2012,"2","weiblich",2,1
2015,"B'sai",2005,"2","weiblich",2,1
2015,"B-Nibiru",2013,"2","weiblich",2,1
2015,"Baballu",2014,"2","weiblich",2,1
2015,"Babar",2007,"1","männlich",1,1
2015,"Babe",2009,"2","weiblich",2,1
2015,"Babel",2006,"2","weiblich",2,1
2015,"Babett",2011,"2","weiblich",2,1
2015,"Babette",2011,"2","weiblich",2,1
2015,"Babou",2013,"2","weiblich",2,1
2015,"Babouche",2002,"2","weiblich",2,1
2015,"Babu",2012,"1","männlich",1,1
2015,"Babu (Udo von Tannenthalbad)",2007,"1","männlich",1,1
2015,"Baby",2012,"2","weiblich",2,2
2015,"Baccio",2014,"1","männlich",1,1
2015,"Bachata",2006,"2","weiblich",2,1
2015,"Bacon",2013,"1","männlich",1,1
2015,"Badjo",2004,"1","männlich",1,1
2015,"Bado",2011,"1","männlich",1,1
2015,"Bady",2004,"1","männlich",1,1
2015,"Bady",2015,"1","männlich",1,1
2015,"Bafi vom  Füllern",2009,"2","weiblich",2,1
2015,"Bagdo",2004,"1","männlich",1,1
2015,"Baiba",2000,"2","weiblich",2,1
2015,"Baija",2011,"2","weiblich",2,1
2015,"Baika (Bossa)",2006,"2","weiblich",2,1
2015,"Baika fidelis anima",2015,"2","weiblich",2,1
2015,"Baila",2004,"2","weiblich",2,1
2015,"Baila",2012,"2","weiblich",2,1
2015,"Baila",2013,"2","weiblich",2,1
2015,"Bailey",2008,"1","männlich",1,1
2015,"Bailey",2013,"2","weiblich",2,1
2015,"Baileys",2008,"1","männlich",1,1
2015,"Baileys",2011,"1","männlich",1,1
2015,"Baileys",2013,"2","weiblich",2,1
2015,"Baileys",2015,"1","männlich",1,1
2015,"Baileys Bambi",2011,"2","weiblich",2,1
2015,"Baily",2006,"1","männlich",1,1
2015,"Bailys",2011,"1","männlich",1,1
2015,"Baja",2004,"2","weiblich",2,1
2015,"Bajko v. Auendorf",2012,"1","männlich",1,1
2015,"Bajo (Hary)",2008,"1","männlich",1,1
2015,"Baju (Steve)",2011,"1","männlich",1,1
2015,"Bakari",2008,"1","männlich",1,1
2015,"Bakari Taste",2014,"2","weiblich",2,1
2015,"Bako",2009,"1","männlich",1,1
2015,"Baksik",2010,"1","männlich",1,1
2015,"Baku",2010,"1","männlich",1,1
2015,"Bala",2002,"2","weiblich",2,1
2015,"Baldo",2003,"1","männlich",1,1
2015,"Balduin",2014,"1","männlich",1,1
2015,"Baldur",2010,"1","männlich",1,1
2015,"Balim",2013,"2","weiblich",2,1
2015,"Balloo",2014,"2","weiblich",2,1
2015,"Ballou",2015,"1","männlich",1,1
2015,"Bally",2011,"2","weiblich",2,1
2015,"Baloo",2007,"1","männlich",1,1
2015,"Baloo",2010,"1","männlich",1,1
2015,"Balosch",1998,"1","männlich",1,1
2015,"Balou",2000,"1","männlich",1,1
2015,"Balou",2001,"1","männlich",1,1
2015,"Balou",2005,"1","männlich",1,1
2015,"Balou",2006,"1","männlich",1,1
2015,"Balou",2008,"1","männlich",1,1
2015,"Balou",2009,"1","männlich",1,1
2015,"Balou",2010,"1","männlich",1,1
2015,"Balou",2012,"1","männlich",1,1
2015,"Balou",2013,"1","männlich",1,1
2015,"Balou (Dschowo's Julio)",2013,"1","männlich",1,1
2015,"Balu",2005,"1","männlich",1,1
2015,"Balu",2007,"1","männlich",1,2
2015,"Balu",2008,"1","männlich",1,1
2015,"Balu",2010,"1","männlich",1,1
2015,"Balu",2011,"1","männlich",1,4
2015,"Balu",2013,"1","männlich",1,2
2015,"Balu",2014,"1","männlich",1,1
2015,"Balu",2015,"1","männlich",1,1
2015,"Balu (Happy Balu)",2014,"1","männlich",1,1
2015,"Balu (Hathi)",2013,"2","weiblich",2,1
2015,"Balu (Orion)",2014,"1","männlich",1,1
2015,"Balu (Speedy)",2007,"1","männlich",1,1
2015,"Balu Buddha",2012,"1","männlich",1,1
2015,"Baly (Newton)",2007,"1","männlich",1,1
2015,"Balz 2",2003,"1","männlich",1,1
